date,open,high,low,close,volume,volume_log,volume_log_diff,p_SMA:5,p_WMA:5,p_EMA:5,v_log_SMA:5,v_log_WMA:5,v_log_EMA:5,p_SMA:10,p_WMA:10,p_EMA:10,v_log_SMA:10,v_log_WMA:10,v_log_EMA:10,p_SMA:20,p_WMA:20,p_EMA:20,v_log_SMA:20,v_log_WMA:20,v_log_EMA:20,p_SMA:30,p_WMA:30,p_EMA:30,v_log_SMA:30,v_log_WMA:30,v_log_EMA:30,p_SMA:60,p_WMA:60,p_EMA:60,v_log_SMA:60,v_log_WMA:60,v_log_EMA:60
1991-01-16,134.19,134.74,134.14,134.24,50900,4.706717782336758,-0.4534505106217539,134.44400000000002,134.48933333333332,134.07924703145994,5.6178270064470865,5.381143038677755,5.279946748456107,133.18800000000002,133.9101818181818,131.97964390265108,5.24127581133941,5.421365782469732,5.176088191452275,125.6815,130.74538095238097,126.04830479546203,4.5820048919715735,4.923133311475789,4.957983374146514,125.6815,130.74538095238097,121.25247054331734,4.5820048919715735,4.923133311475789,4.8967731750535,125.6815,130.74538095238097,113.30914231773495,4.5820048919715735,4.923133311475789,4.9072748635213
1991-01-17,133.67,134.25,133.65,134.25,65800,4.818225893613955,0.11150811127719695,134.5,134.42466666666667,134.13616468763996,5.38155908752468,5.114609334400045,5.126039796842057,133.59900000000002,134.10327272727272,132.3924359203509,5.308176489435267,5.344447615610559,5.111022319118035,127.39500000000001,131.56142857142856,126.82941862446566,4.567897659396393,4.945630549727444,4.944673137905318,126.08952380952381,131.0639826839827,122.09102083084525,4.593253511097401,4.913596273488349,4.891705608509014,126.08952380952381,131.0639826839827,113.99572781551413,4.593253511097401,4.913596273488349,4.904355225163682
1991-01-18,133.7,134.25,133.67,134.24,300400,5.477699928332131,0.6594740347181753,134.42800000000003,134.338,134.17077645842664,5.252152593647102,5.146656281335862,5.243259840672081,133.879,134.2198181818182,132.72835666210528,5.393621553228691,5.375270059046352,5.17769097533878,128.8875,132.21333333333334,127.53518827927846,4.62705934450492,5.032278384864181,4.995437594136443,126.46,131.34015810276682,122.87482593853265,4.633455620971707,4.962648765213896,4.929511693658893,126.46,131.34015810276682,114.65947444451366,4.633455620971707,4.962648765213896,4.9231534121528115
1991-01-21,133.7,134.24,133.66,134.24,205100,5.311965660368366,-0.16573426796376456,134.342,134.27533333333335,134.19385097228445,5.0949555115219445,5.166593970242951,5.266161780570844,134.09700000000004,134.28545454545457,133.00320090535888,5.4911721458806735,5.360423533071748,5.202104554435068,130.143,132.72309523809523,128.17374177649003,4.7202997259562265,5.0975075578035565,5.025583124253769,126.79826086956523,131.58181159420292,123.60806297475635,4.6629560574672135,4.991758506476769,4.95418614312402,126.79826086956523,131.58181159420292,115.30145888895584,4.6629560574672135,4.991758506476769,4.935901354717256
1991-01-22,133.72,134.24,133.66,133.72,35400,4.549003262025788,-0.7629623983425784,134.13799999999998,134.068,134.03590064818965,4.972722505335399,4.984609887077564,5.027108941055825,134.201,134.21690909090907,133.13352801347543,5.3994450399043235,5.189120099643586,5.083358864906107,131.1015,133.06376190476192,128.70195684539576,4.772492390141521,5.081193608857801,4.980194565946343,127.08666666666666,131.75286666666668,124.26044600864304,4.65820802432382,4.95633808692069,4.928045312085425,127.08666666666666,131.75286666666668,115.90534548276055,4.65820802432382,4.95633808692069,4.923216171350322
1991-01-23,133.17,133.72,133.14,133.17,109500,5.039414119176137,0.4904108571503496,133.92400000000004,133.74533333333332,133.74726709879312,5.039261772703275,5.006840425024477,5.03121066709593,134.184,134.02945454545454,133.1401592837526,5.328544389575181,5.1236599322384615,5.075368911137022,131.7475,133.26076190476192,129.12748476488187,4.865658533147544,5.106614725908716,4.985834523396799,127.33,131.86187692307692,124.83525594356931,4.6734562681179135,4.96272855094034,4.935230396413858,127.33,131.86187692307692,116.47139972922741,4.6734562681179135,4.96272855094034,4.927025940131497
1991-01-24,132.61,133.17,132.57,132.61,185700,5.26881190373978,0.22939778456364301,133.596,133.30733333333333,133.36817806586208,5.129378974728441,5.083357135369979,5.110411079310547,134.048,133.74327272727274,133.04376668670668,5.255469031126561,5.1127994802683885,5.110540364337523,132.1145,133.34290476190478,129.45915288251217,4.929099128334533,5.14501028501274,5.012784750096131,127.53307692307693,131.91729344729345,125.33685233430678,4.696354561795678,4.985401391888446,4.956751783983273,127.53307692307693,131.91729344729345,117.00053416433471,4.696354561795678,4.985401391888446,4.938232037298981
1991-01-25,132.05,132.07,132.03,132.05,344700,5.537441283407948,0.2686293796681678,133.15800000000002,132.792,132.9287853772414,5.141327245743604,5.219377904929814,5.252754480676347,133.793,133.38,132.86308183457817,5.196739919695352,5.164067162501367,5.188158713259418,132.453,133.33676190476191,129.70590022703482,5.014993995727837,5.202947633114969,5.062752038982971,127.70037037037036,131.92677248677248,125.76995863531926,4.727505921855391,5.024832812711268,4.994215622655832,127.70037037037036,131.92677248677248,117.49395927370078,4.727505921855391,5.024832812711268,4.957878242089439
1991-01-28,131.46,131.55,131.46,131.46,510700,5.70816585785554,0.1707245744475916,132.602,132.22600000000003,132.4391902514943,5.220567285241039,5.4083241089671255,5.404558273069412,133.47200000000004,132.9558181818182,132.60797604647303,5.157761398381491,5.257053696712311,5.28270546682235,132.7035,133.24219047619047,129.8729573482696,5.098731100846266,5.2689640009366565,5.124220021732739,127.83464285714285,131.89458128078817,126.13705807820189,4.762529490998253,5.07195922961777,5.040276928152588,127.83464285714285,131.89458128078817,117.95186224833354,4.762529490998253,5.07195922961777,4.982477836048983
1991-01-29,130.95,130.97,130.95,130.95,138700,5.142076461073285,-0.5660893967822549,132.048,131.67533333333333,131.9427935009962,5.3391819250505375,5.382160500911208,5.317064335737371,133.093,132.49727272727273,132.30652585620518,5.155952215192968,5.254201889929,5.257136556686156,132.87050000000002,133.07519047619047,129.9755328389106,5.161230193765407,5.273092130482086,5.1259206350032676,127.94206896551725,131.8316091954023,126.44757046025339,4.775617317552565,5.076633711714804,5.046844639953923,127.94206896551725,131.8316091954023,118.37803069920784,4.775617317552565,5.076633711714804,4.987710577853059
