,code,name
287,000797,中国武夷
288,000798,中水渔业
289,000799,酒鬼酒
290,000800,一汽解放
291,000801,四川九洲
292,000802,北京文化
293,000803,山高环能
294,000807,云铝股份
295,000809,*ST和展
296,000810,创维数字
297,000811,冰轮环境
298,000812,陕西金叶
299,000813,德展健康
300,000815,美利云
301,000816,智慧农业
302,000818,航锦科技
303,000819,岳阳兴长
304,000820,神雾节能
305,000821,京山轻机
306,000822,山东海化
307,000823,超声电子
308,000825,太钢不锈
309,000826,启迪环境
310,000828,东莞控股
311,000829,天音控股
312,000830,鲁西化工
313,000831,中国稀土
314,000833,粤桂股份
315,000837,秦川机床
316,000838,财信发展
317,000839,中信国安
318,000848,承德露露
319,000850,华茂股份
320,000851,ST高鸿
321,000852,石化机械
322,000856,冀东装备
323,000858,五 粮 液
324,000859,国风新材
325,000860,顺鑫农业
326,000862,银星能源
327,000863,三湘印象
328,000868,安凯客车
329,000869,张  裕Ａ
330,000875,吉电股份
331,000876,新 希 望
332,000877,天山股份
333,000878,云南铜业
334,000880,潍柴重机
335,000881,中广核技
336,000882,华联股份
337,000883,湖北能源
338,000885,城发环境
339,000886,海南高速
340,000887,中鼎股份
341,000888,峨眉山Ａ
342,000889,ST中嘉
343,000890,法尔胜
344,000892,欢瑞世纪
345,000893,亚钾国际
346,000895,双汇发展
347,000897,津滨发展
348,000898,鞍钢股份
349,000899,赣能股份
350,000900,现代投资
351,000901,航天科技
352,000902,新洋丰
353,000903,云内动力
354,000905,厦门港务
355,000906,浙商中拓
356,000908,*ST景峰
357,000909,ST数源
358,000910,大亚圣象
359,000911,广农糖业
360,000912,泸天化
361,000913,钱江摩托
362,000915,华特达因
363,000917,电广传媒
364,000919,金陵药业
365,000920,沃顿科技
366,000921,海信家电
367,000922,佳电股份
368,000923,河钢资源
369,000925,众合科技
370,000926,福星股份
371,000927,中国铁物
372,000928,中钢国际
373,000929,兰州黄河
374,000930,中粮科技
375,000931,中 关 村
376,000932,华菱钢铁
377,000933,神火股份
378,000935,四川双马
379,000936,华西股份
380,000937,冀中能源
381,000938,紫光股份
382,000948,南天信息
383,000949,新乡化纤
384,000950,重药控股
385,000951,中国重汽
386,000952,广济药业
387,000953,河化股份
388,000955,欣龙控股
389,000957,中通客车
390,000958,电投产融
391,000959,首钢股份
392,000960,锡业股份
393,000962,东方钽业
394,000963,华东医药
395,000965,天保基建
396,000966,长源电力
397,000967,盈峰环境
398,000968,蓝焰控股
399,000969,安泰科技
400,000970,中科三环
401,000972,*ST中基
402,000973,佛塑科技
403,000975,山金国际
404,000977,浪潮信息
405,000978,桂林旅游
406,000980,众泰汽车
407,000981,山子高科
408,000983,山西焦煤
409,000985,大庆华科
410,000987,越秀资本
411,000988,华工科技
412,000989,ST九芝
413,000990,诚志股份
414,000993,闽东电力
415,000995,皇台酒业
416,000997,新 大 陆
417,000998,隆平高科
418,000999,华润三九
419,001201,东瑞股份
420,001202,炬申股份
421,001203,大中矿业
422,001205,盛航股份
423,001206,依依股份
424,001207,联科科技
425,001208,华菱线缆
426,001209,洪兴股份
427,001210,金房能源
428,001211,双枪科技
429,001212,中旗新材
430,001213,中铁特货
431,001215,千味央厨
432,001216,华瓷股份
433,001217,华尔泰
434,001218,丽臣实业
435,001219,青岛食品
436,001222,源飞宠物
437,001223,欧克科技
438,001225,和泰机电
439,001226,拓山重工
440,001227,兰州银行
441,001228,永泰运
442,001229,魅视科技
443,001230,劲旅环境
444,001231,农心科技
445,001234,泰慕士
446,001236,弘业期货
447,001238,浙江正特
448,001239,永达股份
449,001255,博菲电气
450,001256,炜冈科技
451,001258,立新能源
452,001259,利仁科技
453,001260,坤泰股份
454,001266,宏英智能
455,001267,汇绿生态
456,001268,联合精密
457,001269,欧晶科技
458,001270,铖昌科技
459,001277,速达股份
460,001278,一彬科技
461,001279,强邦新材
462,001282,三联锻造
463,001283,豪鹏科技
464,001286,陕西能源
465,001287,中电港
466,001288,运机集团
467,001289,龙源电力
468,001296,长江材料
469,001298,好上好
470,001299,美能能源
471,001300,三柏硕
472,001301,尚太科技
473,001306,夏厦精密
474,001308,康冠科技
475,001309,德明利
476,001311,多利科技
477,001313,粤海饲料
478,001314,亿道信息
479,001316,润贝航科
480,001317,三羊马
481,001318,阳光乳业
482,001319,铭科精技
483,001322,箭牌家居
484,001323,慕思股份
485,001324,长青科技
486,001326,联域股份
487,001328,登康口腔
488,001330,博纳影业
489,001331,胜通能源
490,001332,锡装股份
491,001333,光华股份
492,001336,楚环科技
493,001337,四川黄金
494,001338,永顺泰
495,001339,智微智能
496,001356,富岭股份
497,001358,兴欣新材
498,001359,平安电工
499,001360,南矿集团
500,001366,播恩集团
501,001367,海森药业
502,001368,通达创智
503,001373,翔腾新材
504,001376,百通能源
505,001378,德冠新材
506,001379,腾达科技
507,001380,华纬科技
508,001382,新亚电缆
509,001387,雪祺电气
510,001389,广合科技
511,001391,国货航
512,001395,亚联机械
513,001696,宗申动力
