date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,volume_log,volume_log_diff,p_SMA:5,p_WMA:5,p_EMA:5,v_log_SMA:5,v_log_WMA:5,v_log_EMA:5,p_SMA:10,p_WMA:10,p_EMA:10,v_log_SMA:10,v_log_WMA:10,v_log_EMA:10,p_SMA:20,p_WMA:20,p_EMA:20,v_log_SMA:20,v_log_WMA:20,v_log_EMA:20,p_SMA:30,p_WMA:30,p_EMA:30,v_log_SMA:30,v_log_WMA:30,v_log_EMA:30,p_SMA:60,p_WMA:60,p_EMA:60,v_log_SMA:60,v_log_WMA:60,v_log_EMA:60,amount_log
2000-01-13,sz000957,9.66,8.75,9.78,8.7,223310,202088576.0,18.18,47.31,2.81,49.62,5.348908171560365,0.0,8.75,8.75,8.75,5.348908171560365,5.348908171560365,5.348908171560365,8.75,8.75,8.75,5.348908171560365,5.348908171560365,5.348908171560365,8.75,8.75,8.75,5.348908171560365,5.348908171560365,5.348908171560365,8.75,8.75,8.75,5.348908171560365,5.348908171560365,5.348908171560365,8.75,8.75,8.75,5.348908171560365,5.348908171560365,5.348908171560365,8.30554176368655
2000-01-14,sz000957,8.68,8.33,8.68,8.2,55478,46713220.0,5.49,-4.8,-0.42,12.33,4.744120796225687,-0.604787375334678,8.54,8.47,8.61,5.046514483893025,4.945716588003912,5.147312379782139,8.54,8.47,8.673636363636362,5.046514483893025,4.945716588003912,5.238946830590423,8.54,8.47,8.71,5.046514483893025,4.945716588003912,5.291309373909443,8.54,8.47,8.722903225806451,5.046514483893025,4.945716588003912,5.309889631216192,8.54,8.47,8.73622950819672,5.046514483893025,4.945716588003912,5.329079077287096,7.669439804775108
2000-01-17,sz000957,8.25,8.72,8.88,8.2,34649,29955764.0,8.16,4.68,0.39,7.7,4.539690705015678,-0.20443009121000877,8.6,8.595,8.646666666666667,4.877573224267244,4.742703646509796,4.944771821526652,8.6,8.595,8.682066115702478,4.877573224267244,4.742703646509796,5.1118093532131965,8.6,8.595,8.710952380952381,4.877573224267244,4.742703646509796,5.219726643538609,8.6,8.595,8.722715920915713,4.877573224267244,4.742703646509796,5.260199377912934,8.6,8.595,8.735697393173876,4.877573224267244,4.742703646509796,5.303197491310983,7.4764804004329095
2000-01-18,sz000957,8.7,8.47,8.7,8.42,19615,16764443.0,3.21,-2.87,-0.25,4.36,4.292588312465555,-0.247102392550123,8.5675,8.545000000000002,8.587777777777777,4.731326996316821,4.562657512892099,4.727377318506287,8.5675,8.545000000000002,8.643508640120208,4.731326996316821,4.562657512892099,4.962860073077262,8.5675,8.545000000000002,8.688004535147392,4.731326996316821,4.562657512892099,5.131427754864985,8.5675,8.545000000000002,8.70641166795341,4.731326996316821,4.562657512892099,5.19777285756149,8.5675,8.545000000000002,8.72698600323375,4.731326996316821,4.562657512892099,5.270062764135723,7.2243891285345985
2000-01-19,sz000957,8.46,8.43,8.58,8.4,13360,11304704.0,2.13,-0.47,-0.04,2.97,4.125806458139527,-0.166781854326028,8.540000000000001,8.506666666666668,8.535185185185185,4.610222888681362,4.417040494641242,4.526853698384034,8.540000000000001,8.506666666666668,8.60468888737108,4.610222888681362,4.417040494641242,4.810668506724945,8.540000000000001,8.506666666666668,8.663432674657164,4.610222888681362,4.417040494641242,5.03565429803399,8.540000000000001,8.506666666666668,8.688578657117706,4.610222888681362,4.417040494641242,5.128613735018138,8.540000000000001,8.506666666666668,8.717248757226084,4.610222888681362,4.417040494641242,5.2325461639391255,7.053259195354567
2000-01-20,sz000957,8.43,8.53,8.6,8.36,15876,13457894.0,2.85,1.19,0.1,3.53,4.200741090235126,0.07493463209559881,8.496,8.503333333333334,8.533456790123456,4.380589472416315,4.28054656182583,4.418149495667731,8.538333333333334,8.513333333333335,8.591109089667246,4.541975922273656,4.355240664810923,4.699772612817705,8.538333333333334,8.513333333333335,8.650724800880292,4.541975922273656,4.355240664810923,4.9561387544340985,8.538333333333334,8.513333333333335,8.67834777601334,4.541975922273656,4.355240664810923,5.068750983741815,8.538333333333334,8.513333333333335,8.711109453710474,4.541975922273656,4.355240664810923,5.198716489391454,7.128977103295161
2000-01-21,sz000957,8.55,8.59,8.68,8.41,21700,18506580.0,3.17,0.7,0.06,4.82,4.336459733848529,0.13571864361340324,8.548,8.534666666666665,8.552304526748971,4.299057259940883,4.2658366489699,4.390919575061331,8.545714285714286,8.5325,8.590907437000473,4.512616466784352,4.350545432070325,4.6337157257324,8.545714285714286,8.5325,8.64494148651074,4.512616466784352,4.350545432070325,4.897121704854521,8.545714285714286,8.5325,8.67264791949635,4.512616466784352,4.350545432070325,5.021506386974506,8.545714285714286,8.5325,8.707138651949474,4.512616466784352,4.350545432070325,5.170445776094964,7.267326168922566
2000-01-24,sz000957,8.6,9.02,9.06,8.52,35807,31603832.0,6.29,5.01,0.43,7.96,4.553967936258381,0.21750820240985203,8.607999999999999,8.692,8.708203017832648,4.301912706189424,4.350806874409068,4.445269028793682,8.605,8.640833333333333,8.66892426663675,4.517785400468606,4.3957504330010035,4.619216127646214,8.605,8.640833333333333,8.680661344938288,4.517785400468606,4.3957504330010035,4.864440393559651,8.605,8.640833333333333,8.695057731141748,4.517785400468606,4.3957504330010035,4.991342615960563,8.605,8.640833333333333,8.717396401065884,4.517785400468606,4.3957504330010035,5.150233387903601,7.4997397445031035
2000-01-25,sz000957,8.9,8.81,8.95,8.72,16931,14916802.0,2.55,-2.33,-0.21,3.76,4.2286826097129655,-0.32528532654541564,8.675999999999998,8.759333333333334,8.742135345221765,4.289131565638906,4.326396842250248,4.373073555766776,8.627777777777778,8.674666666666667,8.694574399975522,4.485662868162424,4.362336868343396,4.548210033476533,8.627777777777778,8.674666666666667,8.692979312087022,4.485662868162424,4.362336868343396,4.8038920331933,8.627777777777778,8.674666666666667,8.702473361390668,4.485662868162424,4.362336868343396,4.94213874458975,8.627777777777778,8.674666666666667,8.720432584637493,4.485662868162424,4.362336868343396,5.120018608290793,7.173675725105672
2000-01-26,sz000957,8.81,9.08,9.1,8.74,22278,19985468.0,4.09,3.06,0.27,4.95,4.347876199609803,0.11919358989683726,8.806000000000001,8.894,8.85475689681451,4.33354551393296,4.3459783869072135,4.3646744370477855,8.673,8.748363636363637,8.764651781798154,4.471884201307161,4.359707655846379,4.511785700046218,8.673,8.748363636363637,8.729838425221592,4.471884201307161,4.359707655846379,4.760461953804396,8.673,8.748363636363637,8.726829918720304,4.471884201307161,4.359707655846379,4.903799225558785,8.673,8.748363636363637,8.732221680223148,4.471884201307161,4.359707655846379,5.094702463743875,7.300714322595511
