date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,volume_log,volume_log_diff,p_SMA:5,p_WMA:5,p_EMA:5,v_log_SMA:5,v_log_WMA:5,v_log_EMA:5,p_SMA:10,p_WMA:10,p_EMA:10,v_log_SMA:10,v_log_WMA:10,v_log_EMA:10,p_SMA:20,p_WMA:20,p_EMA:20,v_log_SMA:20,v_log_WMA:20,v_log_EMA:20,p_SMA:30,p_WMA:30,p_EMA:30,v_log_SMA:30,v_log_WMA:30,v_log_EMA:30,p_SMA:60,p_WMA:60,p_EMA:60,v_log_SMA:60,v_log_WMA:60,v_log_EMA:60,amount_log
2004-06-30,sh600981,8.0,8.13,8.38,7.89,248257,201624727.0,6.81,12.92,0.93,49.65,5.394901502962034,0.0,8.13,8.13,8.13,5.394901502962034,5.394901502962034,5.394901502962034,8.13,8.13,8.13,5.394901502962034,5.394901502962034,5.394901502962034,8.13,8.13,8.13,5.394901502962034,5.394901502962034,5.394901502962034,8.13,8.13,8.13,5.394901502962034,5.394901502962034,5.394901502962034,8.13,8.13,8.13,5.394901502962034,5.394901502962034,5.394901502962034,8.30454379236243
2004-07-01,sh600981,8.01,8.29,8.4,7.71,153748,125958288.0,8.49,1.97,0.16,30.75,5.186809475051596,-0.20809202791043813,8.21,8.236666666666666,8.183333333333334,5.290855489006814,5.256173484355075,5.325537493658555,8.21,8.236666666666666,8.15909090909091,5.290855489006814,5.256173484355075,5.357066588796499,8.21,8.236666666666666,8.145238095238096,5.290855489006814,5.256173484355075,5.375083214589611,8.21,8.236666666666666,8.140322580645162,5.290855489006814,5.256173484355075,5.38147621083878,8.21,8.236666666666666,8.135245901639344,5.290855489006814,5.256173484355075,5.388078813522347,8.100226749160395
2004-07-02,sh600981,8.29,8.3,8.54,8.15,109221,90891042.0,4.7,0.12,0.01,21.84,5.0383061485087515,-0.14850332654284415,8.24,8.268333333333333,8.222222222222223,5.20667237550746,5.147239816431913,5.229793711941954,8.24,8.268333333333333,8.184710743801654,5.20667237550746,5.147239816431913,5.299110145107818,8.24,8.268333333333333,8.15997732426304,5.20667237550746,5.147239816431913,5.343009208296196,8.24,8.268333333333333,8.150624349635796,5.20667237550746,5.147239816431913,5.359336206817488,8.24,8.268333333333333,8.140647675356087,5.20667237550746,5.147239816431913,5.376610857292393,7.958521082323427
2004-07-05,sh600981,8.29,8.18,8.29,8.02,46321,37634358.0,3.25,-1.45,-0.12,9.26,4.66577792657849,-0.3725282219302617,8.225,8.233,8.20814814814815,5.071448763275217,4.954655060490543,5.041788450154133,8.225,8.233,8.183854244928625,5.071448763275217,4.954655060490543,5.1839588326479396,8.225,8.233,8.161884245761797,5.071448763275217,4.954655060490543,5.278510990989747,8.225,8.233,8.152519552885101,5.071448763275217,4.954655060490543,5.314590511318198,8.225,8.233,8.141937915508347,5.071448763275217,4.954655060490543,5.353304859564068,7.575584511855996
2004-07-06,sh600981,8.15,8.36,8.49,8.15,83902,70031407.0,4.16,2.2,0.18,16.78,4.923772313374723,0.2579943867962333,8.251999999999999,8.275333333333332,8.258765432098766,5.041913473295119,4.944360811451937,5.00244973789433,8.251999999999999,8.275333333333332,8.215880745850694,5.041913473295119,4.944360811451937,5.1366521927800814,8.251999999999999,8.275333333333332,8.180752412832103,5.041913473295119,4.944360811451937,5.244726355026412,8.251999999999999,8.275333333333332,8.165905388182837,5.041913473295119,4.944360811451937,5.2893764340315235,8.251999999999999,8.275333333333332,8.149087492049057,5.041913473295119,4.944360811451937,5.339221825262778,7.84529285183989
2004-07-07,sh600981,8.35,8.22,8.37,8.18,33594,27745123.0,2.27,-1.67,-0.14,6.72,4.5262617178786275,-0.3975105954960956,8.27,8.264666666666667,8.245843621399178,4.868185516278438,4.772476892979773,4.843720397889096,8.246666666666668,8.25952380952381,8.216629701150566,4.955971514059037,4.824903927573849,5.025672106434362,8.246666666666668,8.25952380952381,8.184490278276664,4.955971514059037,4.824903927573849,5.176301151488528,8.246666666666668,8.25952380952381,8.169395363138785,4.955971514059037,4.824903927573849,5.240143226537788,8.246666666666668,8.25952380952381,8.151412492309744,4.955971514059037,4.824903927573849,5.312567395512478,7.443186654473769
2004-07-08,sh600981,8.13,8.26,8.26,8.06,20655,16892549.0,2.43,0.49,0.04,4.13,4.315025199312605,-0.21123651856602255,8.264,8.261333333333333,8.250562414266119,4.69382866113064,4.588090120657828,4.667488665030266,8.248571428571429,8.259642857142856,8.22451521003228,4.864407754809546,4.697434245508538,4.89646357786677,8.248571428571429,8.259642857142856,8.191681680345553,4.864407754809546,4.697434245508538,5.094274870328916,8.248571428571429,8.259642857142856,8.175240823581444,4.864407754809546,4.697434245508538,5.18045819252326,8.248571428571429,8.259642857142856,8.154972738463522,4.864407754809546,4.697434245508538,5.279861093997728,7.227695187351268
2004-07-09,sh600981,8.29,8.13,8.39,8.12,24967,20659027.0,3.27,-1.57,-0.13,4.99,4.397366361265289,0.0823411619526837,8.23,8.216666666666667,8.21037494284408,4.565640703681947,4.489269354036044,4.577447897108607,8.23375,8.230833333333335,8.207330626390046,4.806027580616514,4.630752493454483,4.805718629393773,8.23375,8.230833333333335,8.185807234598357,4.806027580616514,4.630752493454483,5.027902631370476,8.23375,8.230833333333335,8.172322060769739,4.806027580616514,4.630752493454483,5.129936138893713,8.23375,8.230833333333335,8.154153960153243,4.806027580616514,4.630752493454483,5.2509268404655165,7.315109863239661
2004-07-12,sh600981,8.23,7.66,8.23,7.52,40812,31945041.0,8.73,-5.78,-0.47,8.16,4.610787877980347,0.2134215167150586,8.126000000000001,8.026666666666666,8.02691662856272,4.554642693962319,4.504318412135513,4.588561224065854,8.17,8.116666666666667,8.1078159670464,4.784334280323607,4.626759570359655,4.770276674591332,8.17,8.116666666666667,8.1357303551128,4.784334280323607,4.626759570359655,4.988177416761893,8.17,8.116666666666667,8.139269024591046,4.784334280323607,4.626759570359655,5.096442702705755,8.17,8.116666666666667,8.13795219096789,4.784334280323607,4.626759570359655,5.229938677761084,7.504403449865634
2004-07-13,sh600981,7.53,7.62,7.77,7.5,18814,14292228.0,3.52,-0.52,-0.04,3.76,4.274481139688916,-0.3363067382914311,7.978,7.8580000000000005,7.891277752375148,4.424784459225156,4.410931227377712,4.483867862606875,8.115,8.026363636363637,8.019122154856145,4.733348966260138,4.562708946601339,4.680132031881802,8.115,8.026363636363637,8.08661317843539,4.733348966260138,4.562708946601339,4.920206342754943,8.115,8.026363636363637,8.105767797198077,4.733348966260138,4.562708946601339,5.043412924446604,8.115,8.026363636363637,8.120970151919762,4.733348966260138,4.562708946601339,5.19861220110298,7.155099935766622
